"geneAcc","geneSym","logFC","FC","p.val.paired.ttest","adj.pvalue.FDR","significant","status.Live"
"62414289","VIM",-0.0626825077902637,0.95748214698729,0.349082889402811,0.386862422887964,"no","down"
"27436946","LMNA",-0.0571544561709523,0.961158020476448,0.0106482871831014,0.0229072396544029,"no","down"
"16507237","HSPA5",-0.119453401223154,0.920536351302223,0.0101374310157729,0.0223722615520505,"no","down"
"20070125","P4HB",-0.131280796154041,0.913020528735715,0.00119406837586564,0.00854131333813917,"no","down"
"5031877","LMNB1",0.126695708449489,1.09179024233799,0.0371300602134467,0.0576078509978325,"no","up"
"21361657","PDIA3",-0.0928790114530749,0.93764972715731,0.0205155284177137,0.0357277229587394,"no","down"
"21735621","MDH2",-0.2592022103454,0.835549838769719,0.00210159045168333,0.00883395177172402,"no","down"
"50845388","ANXA2",0.167456102396315,1.12307642217441,0.00033977076788718,0.00457796403047991,"no","up"
"34577059","PLIN2",0.283470981443063,1.21711963400108,0.00603568982184676,0.0162645957304502,"no","up"
"4507677","HSP90B1",-0.026956869531066,0.981488405759583,0.487062542552962,0.513119386393244,"no","down"
"5729877","HSPA8",-0.148799031560124,0.90200101901123,0.0264199114907305,0.043166523305046,"no","down"
"735367803","ITGB2",0.447348755193179,1.36353218591415,9.55352199733124e-05,0.00273551096973413,"yes","up"
"12667788","MYH9",1.17327334498603,2.2552280780585,0.00693188242632277,0.0174066760489622,"yes","up"
"4758304","PDIA4",-0.17276460334806,0.887141043291238,0.00159688668242831,0.00858567257586791,"no","down"
"189083772","GSN",-0.0153084732790596,0.989445073239099,0.38908046074187,0.425660674999653,"no","down"
"4505763","PGK1",-0.395494242209214,0.76022889081878,0.00555801347514533,0.0158094605515245,"yes","down"
"4757900","CALR",-0.361328748970362,0.778447284959827,0.000160283845882859,0.00273551096973413,"no","down"
"4503571","ENO1",-0.537998807031801,0.688725592700278,0.00166162981477421,0.00858567257586791,"yes","down"
"4505257","MSN",-0.202811631087943,0.868855621947304,0.0198869233979179,0.035000916823549,"no","down"
"14141161","HNRNPU",0.555242962790278,1.46941607529424,0.0665685930350685,0.0906465947711572,"no","up"
"4502107","ANXA5",0.506463543176061,1.42056371752578,0.000983950472907378,0.00787160378325902,"yes","up"
"431822403","HSP90AB1",0.305833356971416,1.23613246930529,0.00167351986966289,0.00858567257586791,"no","up"
"332164775","PKM",-0.220225353698744,0.858431336173427,0.0112672182631862,0.0234504705315095,"no","down"
"164663805","METTL7B",0.16354823562553,1.12003843133402,0.00289275470665091,0.0104051372812324,"no","up"
"55770836","SCCPDH",0.182638428990725,1.13495762123441,0.0389183240601089,0.0596592273017238,"no","up"
"5031987","PPIF",-0.16188052980884,0.89385918015166,0.00240024284487249,0.00945326412749779,"no","down"
"55956788","NCL",-0.195587210786286,0.873217403570077,0.102452490424108,0.133815497696794,"no","down"
"24119203","TPM3",-0.0447964080845225,0.96942661195393,0.158231097104678,0.195686767433805,"no","down"
"4503471","EEF1A1",0.43456883086321,1.35150685636299,0.0246051273564759,0.0411693634199858,"yes","up"
"157649073","CAP1",0.207582881617238,1.15475186930726,0.0513144560562509,0.0733882723486047,"no","up"
"10863927","PPIA",-0.598039034725062,0.660651327470116,0.000154122437112932,0.00273551096973413,"yes","down"
"41399285","HSPD1",0.367851940052596,1.29043005025872,1.6695862835716e-06,0.000427414088594329,"no","up"
"4757810","ATP5A1",0.435306794042635,1.35219835206783,0.00394291146461159,0.0126173166867571,"yes","up"
"119395750","KRT1",-1.86551659754523,0.274424920288468,0.000318035212079508,0.00452316746068634,"yes","down"
"195972866","KRT10",-0.942633081567777,0.520282439075943,0.00164136464617995,0.00858567257586791,"yes","down"
"42794752","ACSL3",0.405951902787589,1.32496284410509,0.0241345818208097,0.0409169069279952,"yes","up"
"88900491","GANAB",-0.138561795311347,0.908424300931028,0.045827202590407,0.0678136639488103,"no","down"
"62865635","SQLE",-0.0638758256456065,0.956690497955288,0.0882074185900014,0.117609891453335,"no","down"
"4557305","ALDOA",-0.153704375776648,0.898939310379892,0.11129083450356,0.144621592045236,"no","down"
"574280091","PRKCSH",-0.0934145068560284,0.937301757606965,0.00552638848493064,0.0158094605515245,"no","down"
"24234688","HSPA9",-0.193607214202558,0.874416655256979,0.00440154656376006,0.0137414136624704,"no","down"
"613410229","HSD17B11",-0.121799318197873,0.919040715012854,0.0107386206317696,0.0229090573477752,"no","down"
"167614506","LCP1",-0.531968711360339,0.691610313733057,0.0083680677162363,0.0196534434436376,"yes","down"
"4504311","HIST1H4H; HIST1H4C; HIST1H4D; HIST1H4K; HIST1H4L; HIST1H4B; HIST1H4A; HIST1H4F; HIST1H4E; HIST1H4J; HIST1H4I; HIST4H4; HIST2H4B; HIST2H4A",0.64573750397517,1.56453887226175,0.000159762351814591,0.00273551096973413,"yes","up"
"4504523","HSPE1",-0.275116307550647,0.826383693860785,0.000158388435457194,0.00273551096973413,"no","down"
"10716563","CANX",0.354483586923354,1.27852784997315,0.00205014757403037,0.00883395177172402,"no","up"
"4758950","PPIB",-0.469517467141163,0.72220611096899,0.0378139534974351,0.0583154945502614,"no","down"
"4503143","CTSD",-0.728998777629016,0.603322471045039,3.46176545805307e-05,0.00273551096973413,"yes","down"
"19923748","DLST",0.11802064573477,1.0852449022035,0.00354271798480818,0.0115844558959289,"no","up"
"4502013","AK2",-0.304042050000472,0.809979864935053,0.00665928740331545,0.0172199755075632,"no","down"
"5902076","SRSF1",-0.594440763527327,0.662301135343672,0.00103043944681519,0.00794781664147039,"yes","down"
"31712030","AUP1",0.0163714871610061,1.01141248126223,0.460978121872973,0.487646277683807,"no","up"
"32189394","ATP5B",0.618408023024099,1.53518021429097,0.00205368814914341,0.00883395177172402,"yes","up"
"190358517","RAB11B",0.0318624225545996,1.02233103502378,0.188651197809562,0.228398941106395,"no","up"
"10864011","SQRDL",-0.0499735347190651,0.965954048546846,0.379780721980903,0.41726980612494,"no","down"
"14043072","HNRNPA2B1",-0.0449855618773398,0.969299517387968,0.743241578443066,0.752054719689427,"no","down"
"91199540","DLD",0.128496843202814,1.0931541406809,0.0397505198493601,0.0605722207228344,"no","up"
"226529917","TPI1",-0.73736028360408,0.599835875728773,0.00138268117779055,0.00854131333813917,"yes","down"
"4503139","CTSB",-0.754867001259878,0.592601013478214,8.61432599203484e-05,0.00273551096973413,"yes","down"
"213511508","BCAP31",0.311831792749143,1.24128275897571,0.0257998407790731,0.0426113499318885,"no","up"
"51873036","OGDH",0.276789962694636,1.21149626976651,0.0178934189749968,0.0324873422524765,"no","up"
"4503483","EEF2",-0.0824861127817655,0.944428764275089,0.186490381159438,0.227340655127696,"no","down"
"208973244","YWHAZ",-0.793620466828727,0.576894547572119,0.000249307113007528,0.00388183987858693,"yes","down"
"4506031","PPT1",-0.427695080830183,0.74344860634637,0.0223945141597494,0.0387364569249719,"yes","down"
"118402586","GLO1",-0.744533334977167,0.596860905425766,0.00173760156694579,0.00872207845368865,"yes","down"
"32455266","PRDX1",-0.345791040243569,0.786876408173722,0.0461049007752984,0.067832497692393,"no","down"
"4502101","ANXA1",0.528788903017631,1.44271757113762,0.00184795568004073,0.00876434951636878,"yes","up"
"4557395","CA2",-0.516733758487049,0.698952461894643,0.0965586330769083,0.127417577668498,"no","down"
"544186032","PDIA6",-0.0418059137762299,0.971438174638607,0.0110313149312439,0.0231476772327742,"no","down"
"972781703","ACSL4",0.461093508889409,1.37658482262686,0.00700346731657465,0.0174066760489622,"yes","up"
"316659409","ACTG1",0.409768305985793,1.32847244687576,0.000797531752617766,0.00680560428900494,"yes","up"
"34147513","RAB7A",-0.17704270625638,0.884514251799723,0.0115247927635404,0.0236027755797307,"no","down"
"110224476","PSAP",-0.835046676005678,0.560564902573011,0.0035036037923516,0.0115844558959289,"yes","down"
"4504981","LGALS1",-0.38516769508573,0.765689991578974,0.000972256951249894,0.00787160378325902,"yes","down"
"5031635","CFL1",-0.458682227269939,0.727650598869067,0.00180913305129135,0.00876434951636878,"yes","down"
"183076548","HIST2H3D; HIST2H3C; HIST2H3A",0.52466900276616,1.43860348363662,0.00151869591710201,0.00858567257586791,"yes","up"
"7669492","GAPDH",-0.0768193198418139,0.948145701509931,0.417331999459137,0.448759548769366,"no","down"
"4506365","RAB2A",-0.2876448641385,0.819238337914301,0.00357489068663431,0.0115844558959289,"no","down"
"17986258","MYL6",0.875255442362324,1.83433284307788,0.000691766059004148,0.00672262428855796,"yes","up"
"19923983","DHRS1",-0.0662447144562677,0.955120912037497,0.450925027157252,0.478990900216832,"no","down"
"1002623478","ANXA4",0.377426741546799,1.29902278996325,0.151656051816028,0.188465773130597,"no","up"
"5453710","LASP1",-0.311944869951077,0.80555507332832,0.0228448844442037,0.0392502712598399,"no","down"
"5453678","NPC2",-0.569925264125359,0.673651684680783,0.00858020710063631,0.0199524184154725,"yes","down"
"52487191","ERP44",0.0383234462081603,1.0269197510366,0.4189591099839,0.448759548769366,"no","up"
"4507879","VDAC1",0.489728692492292,1.40418078623724,0.00210527497743601,0.00883395177172402,"yes","up"
"93141018","H2AFY",0.496437427156213,1.41072562963213,0.123462993631839,0.157246399849506,"no","up"
"4506675","RPN1",0.517333208243553,1.43130705989896,0.00352110797258547,0.0115844558959289,"yes","up"
"10835063","NPM1",-0.133900639025534,0.911364045739173,0.0182232613620264,0.0328532035822448,"no","down"
"14165439","HNRNPK",-0.207733883948109,0.865896271930113,0.000573178428713377,0.00602419085212244,"no","down"
"4885381","HIST1H1B",0.577552625258861,1.49231554964986,0.00105556939769529,0.00794781664147039,"yes","up"
"340138932","APOBR",-0.0222857665398486,0.98467138157233,0.405671288025488,0.441922764827766,"no","down"
"7661678","RAP1B",0.236328923039963,1.17799133167239,0.00334219965475061,0.0114080414882154,"no","up"
"47933397","LSS",0.0951095531585224,1.06814651623663,0.700371496261628,0.717180412171907,"no","up"
"4504517","HSPB1",0.742622375122055,1.673214464794,0.00872918305676921,0.0199524184154725,"yes","up"
"38327625","CS",-0.538193162561001,0.688632815912942,0.191555767621258,0.229150824817953,"no","down"
"183227678","PARK7",-0.572799362638015,0.672310989685845,0.000786716207651234,0.00680560428900494,"yes","down"
"6031192","SLC25A3",0.315407340472504,1.24436294572323,0.0173031739863585,0.0317752858991431,"no","up"
"4826898","PFN1",-0.40541814657778,0.755017428987257,0.00589206192245881,0.0162645957304502,"yes","down"
"388240801","LMNB2",0.0810998620659316,1.0578241827322,0.234890827450375,0.272090732250209,"no","up"
"4506681","RPS11",0.936850062735882,1.91434395098047,0.0608187096381972,0.0837074713299918,"no","up"
"34932414","NONO",0.330998995975616,1.25788409642804,0.00299689282130973,0.0105096515377437,"no","up"
"5803013","ERP29",-0.225250106483962,0.855446712068241,0.0595184776514285,0.0828083167324222,"no","down"
"5803187","TALDO1",-0.705765934345294,0.613116895237464,1.19133916880745e-05,0.00152491413607354,"yes","down"
"4506381","RAC2",0.598208197033365,1.51383524056699,0.0081728850737627,0.019438575742606,"yes","up"
"72534660","SRSF7",-0.4455859652589,0.734286018332896,0.0108514347592841,0.0229584074246012,"yes","down"
"67782305","SOD2",-0.717455247747097,0.608169238985947,0.000441538174321208,0.0051378987557377,"yes","down"
"284448551","CYB5R3",0.315729310096668,1.24464068410078,0.0245955323745961,0.0411693634199858,"no","up"
"14141152","HNRNPM",0.55404529796148,1.46819673397798,0.0118441050518345,0.024064213438648,"yes","up"
"144226251","CHI3L1",-0.323932111936255,0.798889508444894,0.0688410824889931,0.0932450641120753,"no","down"
"4826998","SFPQ",0.043021248428154,1.03026912760883,0.218665593926263,0.256781614885887,"no","up"
"20127499","SRSF6",-0.269369730431418,0.829681929442937,0.0762079510805348,0.102142594118413,"no","down"
"255958282","PLIN3",-0.341433611141877,0.789256634962702,0.0029264448603466,0.0104051372812324,"no","down"
"469608410","TAGLN2",-1.05919708002052,0.479899069208164,0.00881549178969328,0.0199713796297476,"yes","down"
"55956899","KRT9",-1.98846348617631,0.252007139861208,0.000735287031561027,0.00672262428855796,"yes","down"
"94721250","VAPA",0.24743695147875,1.18709628106665,0.0988409573698809,0.129760436341997,"no","up"
"193211614","NSDHL",0.103299947446304,1.07422778866217,0.416595631031314,0.448759548769366,"no","up"
"34147630","TUFM",0.272081987966551,1.20754921422979,0.00475860585375214,0.0141651523088436,"no","up"
"153792590","HSP90AA1",-0.107603789863546,0.928128335157831,0.122721618487574,0.157083671664095,"no","down"
"5453832","HYOU1",-0.0261519988162924,0.98203612489172,0.559162466373353,0.577199965288622,"no","down"
"747165389","RPSA",0.21048137083389,1.15707418984604,0.0285126867999658,0.0459072189986871,"no","up"
"4758988","RAB1A",-0.218869229365005,0.859238635640249,0.0173296940505854,0.0317752858991431,"no","down"
"11128019","CYCS",-0.670878033012251,0.628124290629098,0.0013524377477402,0.00854131333813917,"yes","down"
"7657532","S100A6",-0.481699461577804,0.716133538111004,0.0166374978398732,0.0310890470584492,"yes","down"
"38045913","NME1",-0.453488445317522,0.730274902260625,0.00404044728664971,0.0127698087084238,"yes","down"
"4505865","PLAUR",0.986714095385908,1.98166637290613,0.0099579371247576,0.0221672339472865,"yes","up"
"15150811","MRPS36",0.091613154384163,1.06556097722732,0.0560373688488271,0.0788217935456029,"no","up"
"7705421","HSD17B7",0.351893051366527,1.27623415662441,0.140936336344563,0.175998546849796,"no","up"
"7657176","CNPY2",-0.185974199586973,0.87905528134188,0.0424228100956937,0.0642617715059029,"no","down"
"4757952","CDC42",-0.161301161954857,0.894218214639093,0.518555005385827,0.54183706685213,"no","down"
"22538442","CTSZ",-0.714728064745444,0.609319972439401,0.0474978155660232,0.0694825187708683,"no","down"
"8922601","ARL8B",0.952530927260309,1.93526472638725,0.00482235756223258,0.0141899257003625,"yes","up"
"4758516","HDGF",-0.585122003181249,0.66659296495392,0.00728710003693619,0.0178454508079198,"yes","down"
"18379366","ZMPSTE24",0.461206549320451,1.37669268730634,0.00286107893156225,0.0104051372812324,"yes","up"
"14043070","HNRNPA1",-0.397526021948327,0.759158996999021,0.00820064914141192,0.019438575742606,"yes","down"
"555943903","TPT1",0.0405782261351746,1.02852597296321,0.717638158317772,0.731933739160756,"no","up"
"10835049","RHOA",0.594668957180243,1.51012603017503,0.000358629659414863,0.00459045964051024,"yes","up"
"4507949","YWHAB",-0.460982925888359,0.726491122664503,0.000512027494307894,0.00569908863229656,"yes","down"
"4506699","RPS21",-0.501192162313023,0.706522709134147,0.0603343764277643,0.0834897317054469,"no","down"
"18104967","PTGS1",0.15338790995099,1.1121781583228,0.0273040929965885,0.0442395430830801,"no","up"
"15431290","RPL11",0.960990572507177,1.94664602764378,0.0199614603759303,0.035000916823549,"yes","up"
"4885379","HIST1H1E",0.470590457561933,1.38567647341782,0.000134348896141889,0.00273551096973413,"yes","up"
"4503117","CSTB",-0.921604677517475,0.527921498289173,0.025036042906331,0.0416183570390957,"yes","down"
"15431293","RPL15",1.75249253911297,3.36940193898421,0.00135621215701498,0.00854131333813917,"yes","up"
"5032057","S100A11",-0.0633808223893517,0.957018804458076,0.538581272293666,0.55820569112218,"no","down"
"260099723","LDHA",-0.211675993315691,0.863533472876095,0.203430657598498,0.239991927858136,"no","down"
"31377697","COLGALT1",0.303518856378021,1.23415094478366,0.0193177141312613,0.0343426029000201,"no","up"
"56699409","RBMX",0.352089852253158,1.27640826212704,0.0173771094760939,0.0317752858991431,"no","up"
"6005721","ERLIN2",0.448947029081957,1.3650435971473,0.00643767966456583,0.0171671457721755,"yes","up"
"157266300","ANPEP",0.211358013846542,1.15777749110912,0.030313770604939,0.0482007781047477,"no","up"
"313482810","HSD17B4",0.80257579662258,1.74421247596509,0.00473176491747937,0.0141651523088436,"yes","up"
"98986464","TMED10",0.349758348807224,1.27434715649302,0.00603330744160941,0.0162645957304502,"no","up"
"18379349","VAT1",0.074286047920415,1.05283988406425,0.0158680633211045,0.0303151060462891,"no","up"
"314122177","CALU",-0.157678543187913,0.896466425172004,0.0497388022349292,0.0715344571468645,"no","down"
"4503301","DECR1",0.103996516306818,1.07474657764879,0.302756516503835,0.339937141337639,"no","up"
"4758638","PRDX6",-0.305007122989259,0.80943822011447,0.0520103067366577,0.0739702140254688,"no","down"
"10880989","RAB18",0.169050108072653,1.12431797321508,0.00200224882389432,0.00883395177172402,"no","up"
"354721184","RAB5C",-0.201011298376514,0.869940539796724,0.343732462448195,0.382589175594513,"no","down"
"4557581","FABP5",-0.204861361334796,0.867622059023032,0.0448153196361227,0.0670919405078795,"no","down"
"4504041","GNAI2",0.67632238852612,1.59806090000138,0.00140130921953846,0.00854131333813917,"yes","up"
"4506663","RPL8",1.402168936828,2.64298628183196,0.0583716953391294,0.0816565792722248,"no","up"
"13775198","SH3BGRL3",-0.72972362992601,0.603019420279732,0.00311496771025698,0.0107761045111593,"yes","down"
"7706563","RAB8B",-0.0220911525474605,0.984804218900412,0.196536380413594,0.234015411097117,"no","down"
"19923231","RAB6A",0.212178654032815,1.15843625057363,0.295030495587301,0.334193835709509,"no","up"
"4557579","FABP4",-0.701710488258239,0.614842804365333,0.00462139688775785,0.0141651523088436,"yes","down"
"5031873","LMAN1",0.319119798855072,1.24756916355886,0.0138027031551392,0.0272064074549325,"no","up"
"238624110","HIST2H2BF",0.693377915664328,1.61706527428799,0.000129237763404192,0.00273551096973413,"yes","up"
"83627705","UQCRH",0.284792690923535,1.21823519593575,0.25094104086437,0.288075813727707,"no","up"
"746817424","RPL10",1.43185849473944,2.69794043098651,0.0102293856078074,0.0223822454324675,"yes","up"
"5453597","CAPZA1",0.0697714722438363,1.04955041813183,0.492475080705268,0.516695166641593,"no","up"
"4506901","SRSF3",-0.166272066990448,0.891142426212474,0.129329076051841,0.162530707453544,"no","down"
"21614525","GPC4",0.24235689872723,1.18292359964931,0.0114547114177757,0.0236027755797307,"no","up"
"10800140","HIST1H2BB",0.678325197230617,1.60028093460884,7.36713823215608e-05,0.00273551096973413,"yes","up"
"15431301","RPL7",1.53764319733978,2.90319846138141,0.00266615068375578,0.0100856420162197,"yes","up"
"62420877","ETFB",0.327915960559455,1.25519887168329,0.22226323151535,0.259814553734838,"no","up"
"4885063","ALDOC",-0.482600844771477,0.715686243911842,0.0362551346900518,0.0569405796359096,"no","down"
"16579885","RPL4",1.43024883582207,2.69493193509937,0.0012687055514126,0.00854131333813917,"yes","up"
"19923483","RAB14",-0.424878412251491,0.744901507878014,0.00588014301177507,0.0162645957304502,"yes","down"
"14110420","HNRNPD",-0.447149046852651,0.733490890194238,0.00522481176789487,0.0151994524156942,"yes","down"
"31543615","DHRS3",-0.0757937697179649,0.94881993730085,0.249068668388434,0.28721432030378,"no","down"
"29893557","UBE2G2",-0.218112417151147,0.859689495225081,0.0328458129582732,0.0519044945513453,"no","down"
"4504425","HMGB1",-0.47268556142857,0.720621918443449,0.0136320833751945,0.0272064074549325,"yes","down"
"10835145","IL1B",0.332525844122259,1.25921605822121,0.00286466554123756,0.0104051372812324,"no","up"
"256222019","RAB10",0.123670858989229,1.08950352107715,0.0435781353409844,0.0656235449840707,"no","up"
"27894317","IL1RN",-0.304956783088995,0.809466464302615,0.0240052774684477,0.0409169069279952,"no","down"
"15431297","RPL13",1.22374732146248,2.33552570145356,0.00188296571640735,0.00876434951636878,"yes","up"
"19913446","HPCA",0.406199846139714,1.32519057342479,0.0264732193706728,0.043166523305046,"yes","up"
"28416431","GIMAP2",0.24390162374689,1.18419086004645,0.420766494156209,0.448817593766623,"no","up"
"779176942","CALM2",0.559282379624591,1.47353607375209,0.010529590653151,0.022843857688192,"yes","up"
"4885371","H1F0",0.587795089828488,1.50294799483134,0.0641547254974982,0.0878267899858799,"no","up"
"208022622","RPS27A",-0.0251495203867798,0.982718744655748,0.785071337788413,0.791253001865487,"no","down"
"48255935","CD44",0.12536660201345,1.09078487587129,0.300951111154596,0.339398609936461,"no","up"
"115430223","LGALS3",0.22739312886646,1.17071761407379,0.0156520515037856,0.0301272570298429,"no","up"
"4759098","TRA2B",-0.277135355808836,0.825227980755779,0.117623054966437,0.152078293289938,"no","down"
"544063423","STIP1",-0.184234138087206,0.880116166022705,0.0483024360677953,0.0702580888258841,"no","down"
"50592994","TXN",-0.617975900725281,0.651584458881898,9.73282275586387e-05,0.00273551096973413,"yes","down"
"5031753","HNRNPH1",0.00331025511817451,1.00229712836792,0.989369943836306,0.989369943836306,"no","up"
"156071459","SLC25A5",0.475253947023596,1.39016289848319,0.0136986886869598,0.0272064074549325,"yes","up"
"68163411","ALCAM",-0.239667712332114,0.846940360811448,0.19003505646743,0.228398941106395,"no","down"
"6598323","GDI2",-0.142280985650467,0.906085447881935,0.409336958686711,0.444026531456772,"no","down"
"17149844","FKBP2",-0.185901801428308,0.879099395710347,0.0162517714409361,0.030818173991701,"no","down"
"47132620","KRT2",-1.10951082357602,0.463451147270891,0.00689685880656259,0.0174066760489622,"yes","down"
"4557014","CAT",0.451065511913615,1.36704952742876,0.0023664689164339,0.00945326412749779,"yes","up"
"4505621","PEBP1",-0.8912159486456,0.539159506150323,0.0139020215998267,0.0272064074549325,"yes","down"
"13569962","RAB1B",-0.0955396983753687,0.935922062472664,0.354716890485699,0.391411741225598,"no","down"
"4504255","H2AFZ",0.582703540737825,1.49765315020333,0.126602116431342,0.160446246566454,"no","up"
"4504061","GNS",-0.733329456177083,0.601514134571986,0.0152077040857012,0.0294937291359053,"yes","down"
"618857509","MANF",-0.315849717755778,0.80337767841463,0.00468667870501014,0.0141651523088436,"no","down"
"5174735","TUBB4B",0.704749377725587,1.62986150372985,0.00187572864627998,0.00876434951636878,"yes","up"
"4502969","COMT",0.506258380637117,1.42036171659783,0.00871863473158615,0.0199524184154725,"yes","up"
"992319630","RPL6",1.56087547212001,2.95032824220277,0.00652048229119032,0.0172086955313889,"yes","up"
"374671775","SSBP1",0.0187032485615042,1.01304850232591,0.726261733270937,0.737789697291111,"no","up"
"5453555","RAN",-0.360808754643969,0.778727913310443,0.00161639709770518,0.00858567257586791,"no","down"
"4502297","ATP5D",0.347362214050511,1.27223238304132,0.0166221932941477,0.0310890470584492,"no","up"
"21624607","COTL1",-0.810535575947901,0.570170152688165,0.00267899866055835,0.0100856420162197,"yes","down"
"296317337","VDAC2",0.599614843858497,1.51531196982994,0.00248939659322131,0.00965584133128267,"yes","up"
"6005717","ATP5I",0.500450860769057,1.41465559137981,0.00213947269471441,0.00883395177172402,"yes","up"
"89145417","METTL7A",-0.0577113810128935,0.960787055402758,0.00989580343044827,0.0221672339472865,"no","down"
"94721354","MTHFD2",0.172482885405245,1.12699638307495,0.175555291809476,0.216068051457817,"no","up"
"19923821","DPYSL5",0.436933230416084,1.35372362571803,0.00659128775088962,0.0172180577982423,"yes","up"
"10800130","HIST1H2AD",0.121626918509442,1.08796105814278,0.604936833192959,0.621943089547781,"no","up"
"262527242","TAPBP",0.583040338419178,1.4980028186888,0.00159611249720049,0.00858567257586791,"yes","up"
"7705696","TXNDC12",-0.220506099663421,0.858264303169866,0.0927565013640624,0.123034530306736,"no","down"
"256985160","RAB7B",0.273839211551678,1.20902092287045,0.0534150107161481,0.0755483024493586,"no","up"
"22165433","ANXA11",0.22764763358148,1.17092415767912,0.275505262681096,0.313463765539381,"no","up"
"20270243","NUS1",0.271277644573892,1.20687615894415,0.00819511859354577,0.019438575742606,"no","up"
"4507149","SOD1",-0.644751162528863,0.639603100502228,0.00139986225451692,0.00854131333813917,"yes","down"
"17017988","COX5B",0.135551525779206,1.09851268233472,0.129516657502043,0.162530707453544,"no","up"
"5729770","TPP1",-0.262862092742434,0.833432871222076,0.0367322315523784,0.0573381175451761,"no","down"
"219555707","EIF5A",-0.337681289278493,0.791312093352865,8.08659267456463e-05,0.00273551096973413,"no","down"
"11056061","TMSB4X",-2.15373601508389,0.224729899057695,0.0301779442620913,0.0482007781047477,"yes","down"
"21956645","MTPN",-0.594662410467961,0.662199391218724,0.00233333300151654,0.00945326412749779,"yes","down"
"4504347","HBA1",1.28881195371851,2.44326771791496,0.000727705606615824,0.00672262428855796,"yes","up"
"27477072","CCL3L1",0.0108288342864409,1.00753421640507,0.941729745665077,0.945422803491214,"no","up"
"25282469","RDH10",-0.0911416285864561,0.938779583311257,0.223336556920949,0.259882538962559,"no","down"
"733605926","TUBA1C",0.801694474102458,1.74314728598686,0.000588299887902582,0.00602419085212244,"yes","up"
"10645195","HIST1H2AE",1.07879627336365,2.11227295020627,0.000146126442797942,0.00273551096973413,"yes","up"
"974005396","CNPY3",-0.369730742388541,0.773926925264116,0.00128563574042426,0.00854131333813917,"no","down"
"4505185","MIF",-0.124988804367581,0.917011159386358,0.183867636021511,0.225215860389985,"no","down"
"14141193","RPS9",1.39496286409268,2.62981782632009,0.00211656513385502,0.00883395177172402,"yes","up"
"4885413","HINT1",-0.134563621049638,0.910945329966627,0.319085751190977,0.356707215305197,"no","down"
"4758302","ERH",-1.02671827914538,0.490825368010093,0.000257778429437414,0.00388183987858693,"yes","down"
"7661922","RAB21",0.176330553838003,1.13000609468854,0.00598255696185083,0.0162645957304502,"no","up"
"4503477","EEF1B2",0.121920221221774,1.08818226523051,0.0187690579664474,0.0336005513245492,"no","up"
"6005731","CHP1",0.214907304964942,1.16062934004152,0.189645651627083,0.228398941106395,"no","up"
"740087210","MYL12A",1.22053787108571,2.33033581571749,0.00695052747859408,0.0174066760489622,"yes","up"
"7657257","TOMM20",0.469658814008826,1.38478193938374,0.0016768891749742,0.00858567257586791,"yes","up"
"4501881","ACTA1",0.473229991598025,1.38821400771559,0.000383134085202854,0.00467058694342527,"yes","up"
"4504253","H2AFX",0.345890437359119,1.27093516696596,0.199987659263416,0.237022410978863,"no","up"
"33589861","RAB31",0.0714204361847735,1.05075071353593,0.0748234179237113,0.100814710465632,"no","up"
"46249393","RHOG",0.389404546134358,1.30985266739442,0.00731942318293586,0.0178454508079198,"yes","up"
"746815975","TUBB6",1.45945622022702,2.75004689483686,0.0453353205891506,0.0674758259931544,"no","up"
"4506765","S100A4",-0.111603567266751,0.925558723891368,0.52429172768598,0.545604399543134,"no","down"
"17986283","TUBA1A",1.28337344787883,2.43407470653902,0.0139220288148287,0.0272064074549325,"yes","up"
"22208967","HMGA1",-0.199069582466684,0.871112176612952,0.263152932611337,0.30074620869867,"no","down"
"4506607","RPL18",1.0295917949768,2.04144655022496,0.0491863120299048,0.0711395247438172,"no","up"
"20070197","DDOST",0.240530490507012,1.1814270017285,0.122329448218679,0.157083671664095,"no","up"
